block,gp,district,res_10_gp_id
achaneraa,babrud,agra,7
achaneraa,mangrolgujar,agra,31
achaneraa,seengna,agra,46
akola,bouman,agra,61
bah,baædos,agra,88
bah,beri,agra,89
bah,bithuli,agra,94
bah,chauncigi,agra,98
barauli ahir,bh.ædai,agra,138
barauli ahir,bisaurakala,agra,142
barauli ahir,hingotakheædaya,agra,153
barauli ahir,soumari,agra,183
etmadpur,boni,agra,221
fatehabad,swaara,agra,312
fatehpur sikri,bh.poor,agra,319
fatehpur sikri,mædoli,agra,344
khandauli,khanæda,agra,450
khandauli,kheædaya,agra,452
khandauli,soumara,agra,471
saunyaa,saura,agra,573
shamshabad,sevala gadholi kala,agra,622
akarabad,chitarauli,aligarh,654
atarauli,baujala mahalpur,aligarh,703
atarauli,khorabad,aligarh,745
chandaus,bhojpur gayanpur,aligarh,849
chandaus,mædaki,aligarh,880
gangori,abhyapur vahalolpur,aligarh,981
gangori,ajwaindher,aligarh,982
gangori,alahadadpur,aligarh,983
gangori,alampur fatehpur,aligarh,984
gangori,alampur rani,aligarh,985
gangori,arni,aligarh,986
gangori,bahadurpur rahachoi,aligarh,987
gangori,bajeedpur,aligarh,988
gangori,barauli,aligarh,989
gangori,barla,aligarh,990
gangori,baædhari bujurg,aligarh,991
gangori,bhaay,aligarh,992
gangori,bhamori bujrg,aligarh,993
gangori,bhauni,aligarh,994
gangori,bhuædiyarampur,aligarh,995
gangori,bilaunaa chitarasi,aligarh,996
gangori,boi khurd,aligarh,997
gangori,boikala,aligarh,998
gangori,boni,aligarh,999
gangori,buædhagaanv,aligarh,1000
gangori,chhabilpur,aligarh,1001
gangori,chharra rafaytpur,aligarh,1002
gangori,chitkura,aligarh,1003
gangori,datavali,aligarh,1004
gangori,dhansari,aligarh,1005
gangori,dorai,aligarh,1006
gangori,galibpur,aligarh,1007
gangori,gangiri,aligarh,1008
gangori,habibpur,aligarh,1009
gangori,hasanpur,aligarh,1010
gangori,hidaramai,aligarh,1011
gangori,husoupur dehamaafee,aligarh,1012
gangori,jajathal,aligarh,1013
gangori,jiroli,aligarh,1014
gangori,kakabegpur,aligarh,1015
gangori,kanauvi,aligarh,1016
gangori,kaser,aligarh,1017
gangori,kasimpur,aligarh,1018
gangori,khersa,aligarh,1019
gangori,madapur,aligarh,1020
gangori,majhola,aligarh,1021
gangori,makhdumpur,aligarh,1022
gangori,malsai,aligarh,1023
gangori,manauna ummedpur,aligarh,1024
gangori,maoopur bahadurpur,aligarh,1025
gangori,mohakampur pithanpur,aligarh,1026
gangori,muædhail,aligarh,1027
gangori,naah,aligarh,1028
gangori,naugavaan,aligarh,1029
gangori,nausha,aligarh,1030
gangori,navivapur,aligarh,1031
gangori,ninaamai ojipur,aligarh,1032
gangori,pahaædipur,aligarh,1033
gangori,pandra navavpur,aligarh,1034
gangori,parora,aligarh,1035
gangori,phushavali,aligarh,1036
gangori,pipaloi,aligarh,1037
gangori,puraini ismailpur,aligarh,1038
gangori,rahamapur,aligarh,1039
gangori,rajmau,aligarh,1040
gangori,ruukhaala,aligarh,1041
gangori,salganva,aligarh,1042
gangori,samaunatatarpur,aligarh,1043
gangori,satrapur,aligarh,1044
gangori,shadipur kamroua,aligarh,1045
gangori,shahjahanbaad,aligarh,1046
gangori,shahjahanpur baujana,aligarh,1047
gangori,sidhauli kala,aligarh,1048
gangori,sikharana,aligarh,1049
gangori,simhavali,aligarh,1050
gangori,siroli,aligarh,1051
gangori,sunaharaa,aligarh,1052
gangori,sunapahar,aligarh,1053
gangori,tandoli,aligarh,1054
gangori,tikri,aligarh,1055
gangori,tikta,aligarh,1056
gangori,uthra,aligarh,1057
gangori,visora,aligarh,1058
javaan,raipur (sunaamayi),aligarh,1232
javaan,rangavaan,aligarh,1236
javaan,tataragædhee,aligarh,1256
khor,ahraula,aligarh,1260
khor,ainchanaa,aligarh,1261
khor,akaravat,aligarh,1262
khor,andla,aligarh,1263
