res_15_gp_id,block,gp,district,merge10gp
3,achaneraa,anganpura,agra,0
9,achaneraa,baskeyarajput,agra,0
10,achaneraa,bhandiri,agra,0
30,achaneraa,magarolgujar,agra,0
48,achaneraa,sigana,agra,0
50,achaneraa,vawarod,agra,0
59,akola,baiman,agra,0
74,akola,jitora,agra,0
76,akola,khaal,agra,0
85,akola,narul,agra,0
87,akola,sagunapur,agra,0
92,bah,badaus,agra,0
93,bah,bairee,agra,0
104,bah,chausangi,agra,0
121,bah,mudiapura,agra,0
123,bah,padakauli,agra,0
125,bah,pratappura,agra,0
135,bah,syich,agra,0
139,bah,vitholi,agra,0
147,barauli ahir,behata,agra,0
148,barauli ahir,bhaadi,agra,0
163,barauli ahir,higgut khedia,agra,0
182,barauli ahir,myampur,agra,0
193,barauli ahir,samri,agra,0
194,barauli ahir,sarbatpur,agra,0
199,barauli ahir,viceri bhaad,agra,0
211,bichpuri,jakhuda,agra,0
221,bichpuri,nanpur,agra,0
227,bichpuri,sutadi,agra,0
235,etmadpur,bainai,agra,0
238,etmadpur,biharipur,agra,0
247,etmadpur,kharkana,agra,0
251,etmadpur,mausanabad,agra,0
252,etmadpur,mitawali,agra,0
255,etmadpur,na0 sirji,agra,0
257,etmadpur,nagala gol,agra,0
258,etmadpur,nagala mahasih,agra,0
266,etmadpur,rasulpur,agra,0
269,etmadpur,satauli na0 mahadev,agra,0
278,fatehabad,bagampur,agra,0
283,fatehabad,behadi,agra,0
292,fatehabad,dhaurra,agra,0
294,fatehabad,fatehabad dehaat,agra,0
339,fatehabad,sankuri khurd,agra,0
341,fatehabad,savaara,agra,0
344,fatehabad,silavali,agra,0
349,fatehpur sikri,badarauli,agra,0
353,fatehpur sikri,bhopur,agra,0
365,fatehpur sikri,gujadpura,agra,0
373,fatehpur sikri,madauli,agra,0
383,fatehpur sikri,nurpur,agra,0
398,fatehpur sikri,surothi,agra,0
410,jaganer,bhavanpura,agra,0
412,jaganer,chachund,agra,0
418,jaganer,gadhi karimpur,agra,0
420,jaganer,kathuumari,agra,0
438,jotpur kalaan,chandrapur,agra,0
440,jotpur kalaan,chaurangabehad,agra,0
444,jotpur kalaan,gadhi rammpura,agra,0
479,jotpur kalaan,vaidpura,agra,0
489,khandauli,gadpura,agra,0
496,khandauli,khdya,agra,0
505,khandauli,parihaar,agra,0
508,khandauli,rahan khurd,agra,0
512,khandauli,ramnagar khandauli,agra,0
517,khandauli,severa,agra,0
550,kheragarh,rudhu,agra,0
563,pinahat,basai bhadauria,agra,0
585,pinahat,shahpur khalsa,agra,0
594,saunyaa,bhidavali,agra,0
598,saunyaa,dadhaki,agra,0
613,saunyaa,mohanpur,agra,0
626,saunyaa,shahparu nadeem,agra,0
627,saunyaa,sherpur,agra,0
630,saunyaa,sora,agra,0
646,shamshabad,gadauli kalam,agra,0
648,shamshabad,gauharpur,agra,0
680,shamshabad,sevala ahir,agra,0
685,shamshabad,surajpura,agra,0
691,shamshabad,tor,agra,0
705,akarabad,bhagausa,aligarh,0
713,akarabad,caseri,aligarh,0
723,akarabad,dubhiya,aligarh,0
735,akarabad,kellanpur,aligarh,0
737,akarabad,kheda narinsingh,aligarh,0
766,atarauli,baijala,aligarh,0
780,atarauli,daudagadhi,aligarh,0
805,atarauli,khayrabad nagariyaa,aligarh,0
817,atarauli,malahpur,aligarh,0
827,atarauli,pahargadhi,aligarh,0
838,atarauli,shairpur,aligarh,0
841,atarauli,sindhuli,aligarh,0
849,bijauli,badhepura,aligarh,0
866,bijauli,dhurra toderpur,aligarh,0
878,bijauli,kalyannagar,aligarh,0
948,chandaus,madki,aligarh,0
951,chandaus,moujpur gammainpur,aligarh,0
963,chandaus,rakaraana,aligarh,0
964,chandaus,ramnagar,aligarh,0
1003,dhanipur,bhuda kishangadhi,aligarh,0
1007,dhanipur,chauganpur,aligarh,0
1027,dhanipur,khangadhi,aligarh,0
1047,dhanipur,rustampur ailam,aligarh,0
1056,dhanipur,ukarana,aligarh,0
1059,gangiri,abhyapur vahalolpur,aligarh,0
1060,gangiri,ajwainter,aligarh,0
1061,gangiri,alahadadpur,aligarh,0
1062,gangiri,alampur fatehpur,aligarh,0
1063,gangiri,alampur rani,aligarh,0
1064,gangiri,arni,aligarh,0
1065,gangiri,badhaari bujurg,aligarh,0
1066,gangiri,bahadurpur rahachoi,aligarh,0
1067,gangiri,bajeedpur,aligarh,0
1068,gangiri,barauli,aligarh,0
1069,gangiri,barla,aligarh,0
1070,gangiri,bhaay,aligarh,0
1071,gangiri,bhamori bujrg,aligarh,0
1072,gangiri,bhauni,aligarh,0
1073,gangiri,bhudiya maa. kaser,aligarh,0
1074,gangiri,bhudiyarampur,aligarh,0
1075,gangiri,bighurd,aligarh,0
1076,gangiri,bilaunaa chitarasi,aligarh,0
