district,block,res_15_gp,res_15_gp_id,merge10gp,res_10_gp,res_10_gp_id,res_10_block
agra,achaneraa,anganpura,3,0,,,
agra,achaneraa,baskeyarajput,9,0,,,
agra,achaneraa,bhandiri,10,0,,,
agra,achaneraa,magarolgujar,30,0,mangrolgujar,31,
agra,achaneraa,sigana,48,0,seengna,46,
agra,achaneraa,vawarod,50,0,,,
agra,akola,baiman,59,0,bouman,61,
agra,akola,jitora,74,0,,,
agra,akola,khaal,76,0,,,
agra,akola,narul,85,0,,,
agra,akola,sagunapur,87,0,,,
agra,bah,badaus,92,0,,,
agra,bah,bairee,93,0,,,
agra,bah,chausangi,104,0,,,
agra,bah,mudiapura,121,0,,,
agra,bah,padakauli,123,0,,,
agra,bah,pratappura,125,0,,,
agra,bah,syich,135,0,,,
agra,bah,vitholi,139,0,,,
agra,barauli ahir,behata,147,0,,,
agra,barauli ahir,bhaadi,148,0,,,
agra,barauli ahir,higgut khedia,163,0,,,
agra,barauli ahir,myampur,182,0,,,
agra,barauli ahir,samri,193,0,,,
agra,barauli ahir,sarbatpur,194,0,,,
agra,barauli ahir,viceri bhaad,199,0,,,
agra,bichpuri,jakhuda,211,0,,,
agra,bichpuri,nanpur,221,0,,,
agra,bichpuri,sutadi,227,0,,,
agra,etmadpur,bainai,235,0,,,
agra,etmadpur,biharipur,238,0,,,
agra,etmadpur,kharkana,247,0,,,
agra,etmadpur,mausanabad,251,0,,,
agra,etmadpur,mitawali,252,0,,,
agra,etmadpur,na0 sirji,255,0,,,
agra,etmadpur,nagala gol,257,0,,,
agra,etmadpur,nagala mahasih,258,0,,,
agra,etmadpur,rasulpur,266,0,,,
agra,etmadpur,satauli na0 mahadev,269,0,,,
agra,fatehabad,bagampur,278,0,,,
agra,fatehabad,behadi,283,0,,,
agra,fatehabad,dhaurra,292,0,,,
agra,fatehabad,fatehabad dehaat,294,0,,,
agra,fatehabad,sankuri khurd,339,0,,,
agra,fatehabad,savaara,341,0,,,
agra,fatehabad,silavali,344,0,,,
agra,fatehpur sikri,badarauli,349,0,,,
agra,fatehpur sikri,bhopur,353,0,,,
agra,fatehpur sikri,gujadpura,365,0,,,
agra,fatehpur sikri,madauli,373,0,,,
agra,fatehpur sikri,nurpur,383,0,,,
agra,fatehpur sikri,surothi,398,0,,,
agra,jaganer,bhavanpura,410,0,,,
agra,jaganer,chachund,412,0,,,
agra,jaganer,gadhi karimpur,418,0,,,
agra,jaganer,kathuumari,420,0,,,
agra,jotpur kalaan,chandrapur,438,0,,,
agra,jotpur kalaan,chaurangabehad,440,0,,,
agra,jotpur kalaan,gadhi rammpura,444,0,,,
agra,jotpur kalaan,vaidpura,479,0,,,
agra,khandauli,gadpura,489,0,,,
agra,khandauli,khdya,496,0,,,
agra,khandauli,parihaar,505,0,,,
agra,khandauli,rahan khurd,508,0,,,
agra,khandauli,ramnagar khandauli,512,0,,,
agra,khandauli,severa,517,0,,,
agra,kheragarh,rudhu,550,0,,,
agra,pinahat,basai bhadauria,563,0,,,
agra,pinahat,shahpur khalsa,585,0,,,
agra,saunyaa,bhidavali,594,0,,,
agra,saunyaa,dadhaki,598,0,,,
agra,saunyaa,mohanpur,613,0,,,
agra,saunyaa,shahparu nadeem,626,0,,,
agra,saunyaa,sherpur,627,0,,,
agra,saunyaa,sora,630,0,,,
agra,shamshabad,gadauli kalam,646,0,,,
agra,shamshabad,gauharpur,648,0,,,
agra,shamshabad,sevala ahir,680,0,,,
agra,shamshabad,surajpura,685,0,,,
agra,shamshabad,tor,691,0,,,
aligarh,akarabad,bhagausa,705,0,,,
aligarh,akarabad,caseri,713,0,,,
aligarh,akarabad,dubhiya,723,0,,,
aligarh,akarabad,kellanpur,735,0,,,
aligarh,akarabad,kheda narinsingh,737,0,,,
aligarh,atarauli,baijala,766,0,,,
aligarh,atarauli,daudagadhi,780,0,,,
aligarh,atarauli,khayrabad nagariyaa,805,0,,,
aligarh,atarauli,malahpur,817,0,,,
aligarh,atarauli,pahargadhi,827,0,,,
aligarh,atarauli,shairpur,838,0,,,
aligarh,atarauli,sindhuli,841,0,,,
aligarh,bijauli,badhepura,849,0,,,
aligarh,bijauli,dhurra toderpur,866,0,,,
aligarh,bijauli,kalyannagar,878,0,,,
aligarh,chandaus,madki,948,0,,,
aligarh,chandaus,moujpur gammainpur,951,0,,,
aligarh,chandaus,rakaraana,963,0,,,
aligarh,chandaus,ramnagar,964,0,,,
aligarh,dhanipur,bhuda kishangadhi,1003,0,,,
aligarh,dhanipur,chauganpur,1007,0,,,
aligarh,dhanipur,khangadhi,1027,0,,,
aligarh,dhanipur,rustampur ailam,1047,0,,,
aligarh,dhanipur,ukarana,1056,0,,,
aligarh,gangiri,abhyapur vahalolpur,1059,0,abhyapur vahalolpur,981,
aligarh,gangiri,ajwainter,1060,0,,,
aligarh,gangiri,alahadadpur,1061,0,,,
aligarh,gangiri,alampur fatehpur,1062,0,,,
aligarh,gangiri,alampur rani,1063,0,,,
aligarh,gangiri,arni,1064,0,,,
aligarh,gangiri,badhaari bujurg,1065,0,,,
aligarh,gangiri,bahadurpur rahachoi,1066,0,,,
aligarh,gangiri,bajeedpur,1067,0,,,
aligarh,gangiri,barauli,1068,0,,,
aligarh,gangiri,barla,1069,0,,,
aligarh,gangiri,bhaay,1070,0,,,
aligarh,gangiri,bhamori bujrg,1071,0,,,
aligarh,gangiri,bhauni,1072,0,,,
aligarh,gangiri,bhudiya maa. kaser,1073,0,,,
aligarh,gangiri,bhudiyarampur,1074,0,,,
aligarh,gangiri,bighurd,1075,0,,,
aligarh,gangiri,bilaunaa chitarasi,1076,0,,,
aligarh,gangiri,boikala,1077,0,,,
aligarh,gangiri,boni,1078,0,,,
