agra,achaneraa,magarolgujar,30,agra,achaneraa,mangrolgujar,31,0.92,0.92
aligarh,gangiri,abhyapur vahalolpur,1059,aligarh,gangori,abhyapur vahalolpur,981,1.0,1.0
aligarh,gangiri,ajwainter,1060,aligarh,gangori,ajwaindher,982,0.7347368421052631,0.84
aligarh,gangiri,alahadadpur,1061,aligarh,gangori,alahadadpur,983,1.0,1.0
aligarh,gangiri,alampur fatehpur,1062,aligarh,gangori,alampur fatehpur,984,1.0,1.0
aligarh,gangiri,alampur rani,1063,aligarh,gangori,alampur rani,985,1.0,1.0
aligarh,gangiri,arni,1064,aligarh,gangori,arni,986,1.0,1.0
aligarh,gangiri,badhaari bujurg,1065,aligarh,gangori,baædhari bujurg,991,0.93,0.93
aligarh,gangiri,bahadurpur rahachoi,1066,aligarh,gangori,bahadurpur rahachoi,987,1.0,1.0
aligarh,gangiri,bajeedpur,1067,aligarh,gangori,bajeedpur,988,1.0,1.0
aligarh,gangiri,barauli,1068,aligarh,gangori,barauli,989,1.0,1.0
aligarh,gangiri,barla,1069,aligarh,gangori,barla,990,1.0,1.0
aligarh,gangiri,bhaay,1070,aligarh,gangori,bhaay,992,1.0,1.0
aligarh,gangiri,bhamori bujrg,1071,aligarh,gangori,bhamori bujrg,993,1.0,1.0
aligarh,gangiri,bhauni,1072,aligarh,gangori,bhauni,994,1.0,1.0
aligarh,gangiri,bhudiyarampur,1074,aligarh,gangori,bhuædiyarampur,995,0.96,0.96
aligarh,gangiri,bilaunaa chitarasi,1076,aligarh,gangori,bilaunaa chitarasi,996,1.0,1.0
aligarh,gangiri,boikala,1077,aligarh,gangori,boikala,998,1.0,1.0
aligarh,gangiri,boni,1078,aligarh,gangori,boni,999,1.0,1.0
aligarh,gangiri,boodhagaanv,1079,aligarh,gangori,buædhagaanv,1000,0,0.82
aligarh,gangiri,chhabilpur,1080,aligarh,gangori,chhabilpur,1001,1.0,1.0
aligarh,gangiri,chharra rafatpur,1081,aligarh,gangori,chharra rafaytpur,1002,0.97,0.97
aligarh,gangiri,chitkura,1082,aligarh,gangori,chitkura,1003,1.0,1.0
aligarh,gangiri,datavali,1083,aligarh,gangori,datavali,1004,1.0,1.0
aligarh,gangiri,dhansari,1084,aligarh,gangori,dhansari,1005,1.0,1.0
aligarh,gangiri,dorai,1085,aligarh,gangori,dorai,1006,1.0,1.0
aligarh,gangiri,gagiri,1086,aligarh,gangori,gangiri,1008,0.92,0.92
aligarh,gangiri,galibpur,1087,aligarh,gangori,galibpur,1007,1.0,1.0
aligarh,gangiri,habibpur,1088,aligarh,gangori,habibpur,1009,1.0,1.0
aligarh,gangiri,hasanpur,1089,aligarh,gangori,hasanpur,1010,1.0,1.0
aligarh,gangiri,hidaramai,1090,aligarh,gangori,hidaramai,1011,1.0,1.0
aligarh,gangiri,husonpur dahamaafee,1091,aligarh,gangori,husoupur dehamaafee,1012,0,0.89
aligarh,gangiri,jajathal,1092,aligarh,gangori,jajathal,1013,1.0,1.0
aligarh,gangiri,jiroli,1093,aligarh,gangori,jiroli,1014,1.0,1.0
aligarh,gangiri,kakabegpur,1094,aligarh,gangori,kakabegpur,1015,1.0,1.0
aligarh,gangiri,kanauvi,1095,aligarh,gangori,kanauvi,1016,1.0,1.0
aligarh,gangiri,kaser,1096,aligarh,gangori,kaser,1017,1.0,1.0
aligarh,gangiri,kasimpur,1097,aligarh,gangori,kasimpur,1018,1.0,1.0
aligarh,gangiri,khersa,1098,aligarh,gangori,khersa,1019,1.0,1.0
aligarh,gangiri,madapur,1099,aligarh,gangori,madapur,1020,1.0,1.0
aligarh,gangiri,majhola,1100,aligarh,gangori,majhola,1021,1.0,1.0
aligarh,gangiri,malsai,1102,aligarh,gangori,malsai,1023,1.0,1.0
aligarh,gangiri,maoopur bahadurpur,1104,aligarh,gangori,maoopur bahadurpur,1025,1.0,1.0
aligarh,gangiri,naah,1107,aligarh,gangori,naah,1028,1.0,1.0
aligarh,gangiri,naugavaan,1108,aligarh,gangori,naugavaan,1029,1.0,1.0
aligarh,gangiri,nausha,1109,aligarh,gangori,nausha,1030,1.0,1.0
aligarh,gangiri,navipur,1110,aligarh,gangori,navivapur,1031,0.63,0.88
aligarh,gangiri,ninaamai ogipur,1111,aligarh,gangori,ninaamai ojipur,1032,0.93,0.93
aligarh,gangiri,padra navavpur,1112,aligarh,gangori,pandra navavpur,1034,0.97,0.97
aligarh,gangiri,paharipur,1113,aligarh,gangori,pahaædipur,1033,0.7347368421052631,0.84
aligarh,gangiri,parora,1114,aligarh,gangori,parora,1035,1.0,1.0
aligarh,gangiri,phushavali,1115,aligarh,gangori,phushavali,1036,1.0,1.0
aligarh,gangiri,pipaloi,1116,aligarh,gangori,pipaloi,1037,1.0,1.0
aligarh,gangiri,puraini ismailpur,1117,aligarh,gangori,puraini ismailpur,1038,1.0,1.0
aligarh,gangiri,rahamapur,1118,aligarh,gangori,rahamapur,1039,1.0,1.0
aligarh,gangiri,rajmau,1119,aligarh,gangori,rajmau,1040,1.0,1.0
aligarh,gangiri,rampur,1120,aligarh,khor,virampur,1329,0.5742857142857143,0.86
aligarh,gangiri,ruukhaala,1121,aligarh,gangori,ruukhaala,1041,1.0,1.0
aligarh,gangiri,salganva,1122,aligarh,gangori,salganva,1042,1.0,1.0
aligarh,gangiri,samaunatatarpur,1123,aligarh,gangori,samaunatatarpur,1043,1.0,1.0
aligarh,gangiri,satrapur,1124,aligarh,gangori,satrapur,1044,1.0,1.0
aligarh,gangiri,shadipur kamroua,1125,aligarh,gangori,shadipur kamroua,1045,1.0,1.0
aligarh,gangiri,shahjahanbaad,1126,aligarh,gangori,shahjahanbaad,1046,1.0,1.0
aligarh,gangiri,shahjahanpur baujana,1127,aligarh,gangori,shahjahanpur baujana,1047,1.0,1.0
aligarh,gangiri,sidhauli kala,1128,aligarh,gangori,sidhauli kala,1048,1.0,1.0
aligarh,gangiri,sihavali,1129,aligarh,gangori,simhavali,1050,0.94,0.94
aligarh,gangiri,sikharana,1130,aligarh,gangori,sikharana,1049,1.0,1.0
aligarh,gangiri,siroli,1131,aligarh,gangori,siroli,1051,1.0,1.0
aligarh,gangiri,sunaharaa,1132,aligarh,gangori,sunaharaa,1052,1.0,1.0
aligarh,gangiri,sunapahar,1133,aligarh,gangori,sunapahar,1053,1.0,1.0
aligarh,gangiri,tandoli,1134,aligarh,gangori,tandoli,1054,1.0,1.0
aligarh,gangiri,tikri,1135,aligarh,gangori,tikri,1055,1.0,1.0
aligarh,gangiri,tikta,1136,aligarh,gangori,tikta,1056,1.0,1.0
aligarh,gangiri,uthra,1137,aligarh,gangori,uthra,1057,1.0,1.0
aligarh,gangiri,visora,1138,aligarh,gangori,visora,1058,1.0,1.0
aligarh,gonda,pipli,1190,aligarh,gangori,pipaloi,1037,0.49666666666666665,0.83
aligarh,iglas,rampur,1250,aligarh,khor,virampur,1329,0.5742857142857143,0.86
aligarh,khayr,ahraula,1360,aligarh,khor,ahraula,1260,1.0,1.0
aligarh,khayr,ainchanaa,1361,aligarh,khor,ainchanaa,1261,1.0,1.0
aligarh,khayr,akaravat,1362,aligarh,khor,akaravat,1262,1.0,1.0
aligarh,khayr,andla,1363,aligarh,khor,andla,1263,1.0,1.0
aligarh,khayr,arni,1364,aligarh,gangori,arni,986,1.0,1.0
aligarh,khayr,arrana,1365,aligarh,khor,arrana,1265,1.0,1.0
aligarh,khayr,baamani,1366,aligarh,khor,baamani,1266,1.0,1.0
aligarh,khayr,bajidpur,1367,aligarh,khor,bajidpur,1267,1.0,1.0
aligarh,khayr,balipur,1368,aligarh,khor,balipur,1268,1.0,1.0
aligarh,khayr,bazeda,1369,aligarh,khor,bazeda,1269,1.0,1.0
aligarh,khayr,bhamraula,1370,aligarh,khor,bhamraula,1270,1.0,1.0
aligarh,khayr,bhanauli,1371,aligarh,khor,bhanauli,1271,1.0,1.0
